year,country_code,country_name,SE.XPD.TOTL.GD.ZS,SE.XPD.CUR.TOTL.ZS,UIS.XSPENDP.FDPUB.FNS,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,UIS.PTRHC.56,UIS.TRTP.0,SE.PRM.TCAQ.ZS,UIS.TRTP.2,SE.SEC.TCAQ.ZS,UIS.TRTP.4,UIS.THDUR.0,SE.PRM.DURS,SE.SEC.DURS.LO,SE.SEC.DURS.UP,UIS.THDUR.4.A.GPV,SE.COM.DURS,IT.NET.USER.P2,IT.CMP.PCMP.P2,SP.URB.TOTL.IN.ZS,NY.GDP.PCAP.KD,IT.CEL.SETS.P2
1971,SEN,Senegal,,,,45.231029510498,,,,,,,,3.0,6.0,4.0,3.0,,,,,30.72,1053.571484107392,
1971,USA,United States,,,,,,14.8050804138184,,,,,,3.0,6.0,3.0,3.0,,,,,73.613,29600.760664178822,
1971,OMN,Oman,,,,17.7448997497559,,,,,,,,2.0,6.0,3.0,3.0,,,,,31.287,8664.335038902082,
1971,SLE,Sierra Leone,,,,32.3039703369141,20.3920001983643,,,,,,,2.0,7.0,5.0,2.0,,,,,24.737,597.8850917854378,
1971,VCT,St. Vincent and the Grenadines,,,,,,,,,,,,2.0,7.0,5.0,2.0,,,,,31.182,2207.535884778299,
1971,GMB,"Gambia, The",,,,27.467950820922898,19.850389480590803,,,,,,,3.0,6.0,4.0,3.0,,,,,20.63,503.5530743681137,
1971,ZAF,South Africa,,,,,,,,,,,,1.0,7.0,3.0,2.0,,,,,47.869,6967.888338444022,
1971,MEX,Mexico,,,,45.907928466796896,14.4728403091431,,,,,,,2.0,6.0,3.0,3.0,,,,,59.778999999999996,6507.717331252583,
1971,BRA,Brazil,,,,,,11.4979696273804,,,,,,3.0,4.0,4.0,3.0,,,,,56.894,3489.9922011771514,
1971,SDN,Sudan,,,,,,,,,,,,,,,,,,,,17.22,612.6553569635566,
1971,TCD,Chad,,,,64.89022827148439,,,,,,,,3.0,6.0,4.0,3.0,,,,,12.312999999999999,656.2792513479808,
1971,IND,India,,,,41.452140808105504,21.9231796264648,,,,,,,2.0,5.0,3.0,4.0,,,,,19.991,372.85689319964587,
1971,LIE,Liechtenstein,,,,,,,,,,,,2.0,5.0,4.0,3.0,,,,,18.364,63215.25320970523,
1971,DEU,Germany,,,,,,,,,,,,3.0,4.0,6.0,3.0,,,,,72.332,24642.717189991265,
1971,MCO,Monaco,,,,,16.9791698455811,,,,,,,3.0,5.0,4.0,3.0,,,,,100.0,107757.336306065,
1971,GAB,Gabon,,,,45.511081695556605,19.4980506896973,,,,,,,3.0,6.0,4.0,3.0,,,,,34.082,7406.264786337967,
1971,GNB,Guinea-Bissau,,,,45.4123382568359,18.090129852294897,,,,,,,3.0,6.0,3.0,2.0,,,,,15.293,513.5315452425799,
1971,BHS,"Bahamas, The",,,,45.462520599365206,33.4196586608887,,,,,,,2.0,6.0,3.0,3.0,,,,,67.429,25782.74358266415,
1971,NAC,North America,,,,,20.698839187622102,,,,,,,,,,,,,,,73.8530438086208,29305.53733386088,
1971,WLD,World,,,,28.2375106811523,16.3244590759277,,,,,,,,,,,,,,,36.7120755913617,5926.303096956796,
1971,EMU,Euro area,,,,22.1446895599365,14.811129570007301,,,,,,,,,,,,,,,67.5330798630828,21516.58395914803,
1971,SAS,South Asia,,,,40.8229217529297,22.0021190643311,,,,,,,,,,,,,,,18.9043813018013,382.27751216493596,
1971,HIC,High income,,,,19.2619590759277,16.5056591033936,,,,,,,,,,,,,,,68.810889893093,19107.382791501004,
1971,OED,OECD members,,,,20.7483501434326,16.6036796569824,,,,,,,,,,,,,,,67.8358773156577,20838.128420534347,
1971,MIC,Middle income,,,,31.916820526123,16.0947303771973,,,,,,,,,,,,,,,25.551311513546,999.5691664406767,
1971,EUU,European Union,,,,19.8747596740723,14.1488800048828,,,,,,,,,,,,,,,66.0511280433589,19043.69536258876,
1971,SSF,Sub-Saharan Africa,,,,36.620269775390604,,,,,,,,,,,,,,,,18.428518342868,1268.435658437653,
1971,EAS,East Asia & Pacific,,,,29.8891792297363,21.076190948486303,,,,,,,,,,,,,,,24.9211984463622,2424.412109043728,
1971,LMY,Low & middle income,,,,32.1675987243652,16.4526805877686,,,,,,,,,,,,,,,24.8162398704365,956.2304154977032,
1971,LMC,Lower middle income,,,,35.8790283203125,19.3080997467041,,,,,,,,,,,,,,,22.803340274172697,603.8491814363105,
1971,UMC,Upper middle income,,,,29.6395797729492,14.4103298187256,,,,,,,,,,,,,,,28.0826645483805,1370.5765597517172,
1971,ECS,Europe & Central Asia,,,,21.6096897125244,,,,,,,,,,,,,,,,61.247686716713886,13512.463210254604,
1971,LCN,Latin America & Caribbean,,,,31.8180103302002,14.302490234375,,,,,,,,,,,,,,,57.797948075166104,4367.556719134165,
1971,MEA,Middle East & North Africa,,,,30.9894905090332,21.801870346069304,,,,,,,,,,,,,,,43.3809654301332,3651.5696876133325,
